mode,topic,candidates,ballots,p50,p90,p95,p99,p999,perfect_four
daily,Things That Scream Christmas,100,10000,29.43,37.6,38.42,40,40,Things That Scream Christmas Candidate 001 | Things That Scream Christmas Candidate 002 | Things That Scream Christmas Candidate 003 | Things That Scream Christmas Candidate 004
daily,Things That Make a Great Vacation,100,10000,29.09,37.46,40,40,40,Things That Make a Great Vacation Candidate 001 | Things That Make a Great Vacation Candidate 002 | Things That Make a Great Vacation Candidate 003 | Things That Make a Great Vacation Candidate 004
daily,Things You'd Want During a Power Outage,100,10000,29.12,37.12,38.73,40,40,Things You'd Want During a Power Outage Candidate 001 | Things You'd Want During a Power Outage Candidate 002 | Things You'd Want During a Power Outage Candidate 003 | Things You'd Want During a Power Outage Candidate 004
daily,Things That Are Worth Paying Extra For,100,10000,28.59,37.09,40,40,40,Things That Are Worth Paying Extra For Candidate 001 | Things That Are Worth Paying Extra For Candidate 002 | Things That Are Worth Paying Extra For Candidate 003 | Things That Are Worth Paying Extra For Candidate 004
daily,Things That Are Overrated,100,10000,28.67,37.05,40,40,40,Things That Are Overrated Candidate 001 | Things That Are Overrated Candidate 002 | Things That Are Overrated Candidate 003 | Things That Are Overrated Candidate 004
daily,Things That Are Underrated,100,10000,29.18,37.59,38.52,40,40,Things That Are Underrated Candidate 001 | Things That Are Underrated Candidate 002 | Things That Are Underrated Candidate 003 | Things That Are Underrated Candidate 004
daily,Things That Make You Nervous,100,10000,29.12,37.55,39.29,40,40,Things That Make You Nervous Candidate 001 | Things That Make You Nervous Candidate 002 | Things That Make You Nervous Candidate 003 | Things That Make You Nervous Candidate 004
daily,Things You'd Hate to Hear From a Pilot,100,10000,28.74,37.41,37.93,40,40,Things You'd Hate to Hear From a Pilot Candidate 001 | Things You'd Hate to Hear From a Pilot Candidate 002 | Things You'd Hate to Hear From a Pilot Candidate 003 | Things You'd Hate to Hear From a Pilot Candidate 004
daily,Things You'd Hate to Hear From a Doctor,100,10000,28.89,36.46,37.93,40,40,Things You'd Hate to Hear From a Doctor Candidate 001 | Things You'd Hate to Hear From a Doctor Candidate 002 | Things You'd Hate to Hear From a Doctor Candidate 003 | Things You'd Hate to Hear From a Doctor Candidate 004
daily,Things You'd Hate to Hear at a Wedding,100,10000,29.21,37.41,40,40,40,Things You'd Hate to Hear at a Wedding Candidate 001 | Things You'd Hate to Hear at a Wedding Candidate 002 | Things You'd Hate to Hear at a Wedding Candidate 003 | Things You'd Hate to Hear at a Wedding Candidate 004
daily,Things That Make a Bad Neighbor,100,10000,28.98,37.59,38.12,40,40,Things That Make a Bad Neighbor Candidate 001 | Things That Make a Bad Neighbor Candidate 002 | Things That Make a Bad Neighbor Candidate 003 | Things That Make a Bad Neighbor Candidate 004
daily,Things That Make a Great Neighbor,100,10000,28.82,37.11,40,40,40,Things That Make a Great Neighbor Candidate 001 | Things That Make a Great Neighbor Candidate 002 | Things That Make a Great Neighbor Candidate 003 | Things That Make a Great Neighbor Candidate 004
daily,Things That Make a Great Bar,100,10000,29.12,37.03,38.64,40,40,Things That Make a Great Bar Candidate 001 | Things That Make a Great Bar Candidate 002 | Things That Make a Great Bar Candidate 003 | Things That Make a Great Bar Candidate 004
daily,Things That Make a Great Restaurant,100,10000,29.26,37.63,38.6,40,40,Things That Make a Great Restaurant Candidate 001 | Things That Make a Great Restaurant Candidate 002 | Things That Make a Great Restaurant Candidate 003 | Things That Make a Great Restaurant Candidate 004
daily,Things You Need for Game Day,100,10000,29.12,37.58,39.45,40,40,Things You Need for Game Day Candidate 001 | Things You Need for Game Day Candidate 002 | Things You Need for Game Day Candidate 003 | Things You Need for Game Day Candidate 004
daily,Things You Need for a Cookout,100,10000,29.1,36.93,37.9,40,40,Things You Need for a Cookout Candidate 001 | Things You Need for a Cookout Candidate 002 | Things You Need for a Cookout Candidate 003 | Things You Need for a Cookout Candidate 004
daily,Things You Need at the Beach,100,10000,29.77,38.15,40,40,40,Things You Need at the Beach Candidate 001 | Things You Need at the Beach Candidate 002 | Things You Need at the Beach Candidate 003 | Things You Need at the Beach Candidate 004
